repo id                                             repo name
brave-browser                                       Brave Browser
copr:copr.fedorainfracloud.org:pgdev:ghostty        Copr repo for ghostty owned by pgdev
copr:copr.fedorainfracloud.org:ryanabx:cosmic-epoch Copr repo for cosmic-epoch owned by ryanabx
fedora                                              Fedora 42 - x86_64
fedora-cisco-openh264                               Fedora 42 openh264 (From Cisco) - x86_64
rpmfusion-free                                      RPM Fusion for Fedora 42 - Free
rpmfusion-free-updates                              RPM Fusion for Fedora 42 - Free - Updates
rpmfusion-nonfree                                   RPM Fusion for Fedora 42 - Nonfree
rpmfusion-nonfree-updates                           RPM Fusion for Fedora 42 - Nonfree - Updates
updates                                             Fedora 42 - x86_64 - Updates
